BERTH_WINDOW,CHEGADA_BARRA,PREVISAO_ATRACACAO,ESCA_DTHR_ATRACACAO,INICIO_OPERACAO,FIM_OPERCACAO,DESATRACACAO,NAVI_NOME,HINA_QTDE_TOTAL_MOV,HINA_CMPH,SERVICO,LINER,BERCO_ATRACACAO
2019/01/25 13:00:00,2019/01/21 04:00:00,2019/01/21 06:00:00,2019/01/21 09:02:00,2019/01/21 10:21:00,2019/01/22 01:21:00,2019/01/22 02:15:00,CATHERINE C,864,"35,03",USA-STRING,MSC,BTP 3
2019/03/26 19:00:00,2019/03/29 00:42:00,2019/04/01 06:00:00,2019/04/01 05:33:00,2019/04/01 06:35:00,2019/04/01 19:01:00,2019/04/01 21:20:00,ALIANÇA MANAUS,362,"29,77",ALCT3,ALI,BTP 3
2019/02/15 13:00:00,2019/02/13 10:30:00,2019/02/14 22:00:00,2019/02/14 22:10:00,2019/02/15 12:03:00,2019/02/16 19:38:00,2019/02/17 03:20:00,CAPE ARTEMISIO,2555,"28,13",IPANE-ASAS,HLC,BTP 2
2019/02/09 01:00:00,2019/02/08 16:00:00,2019/02/08 18:00:00,2019/02/08 18:15:00,2019/02/08 20:35:00,2019/02/09 05:33:00,2019/02/09 08:15:00,MAERSK LAMANAI,767,"36,03",NEO BOSSA,MAE,BTP 3
2018/12/31 07:00:00,2019/02/02 08:00:00,2019/02/02 16:00:00,2019/02/02 15:52:00,2019/02/02 17:21:00,2019/02/03 09:20:00,2019/02/03 10:45:00,MAERSK LOTA,948,"31,37",NEO BOSSA,MAE,BTP 2
2019/01/03 13:00:00,2019/01/02 02:30:00,2019/01/02 19:00:00,2019/01/02 19:56:00,2019/01/02 21:45:00,2019/01/03 13:21:00,2019/01/03 15:46:00,CROATIA,1107,"27,02",IPANE-ASAS,ONE,BTP 2
2019/02/12 19:00:00,2019/02/13 07:00:00,2019/02/13 15:15:00,2019/02/13 13:05:00,2019/02/13 14:30:00,2019/02/13 17:14:00,2019/02/13 22:40:00,ALIANÇA MANAUS,94,"38,89",ALCT3,ALI,BTP 3
2018/11/07 07:00:00,2018/11/06 18:20:00,2018/11/07 21:30:00,2018/11/07 21:30:00,2018/11/07 23:22:00,2018/11/08 08:59:00,2018/11/08 10:16:00,MSC MARIANNA,703,"32,69",USA-STRING,MSC,BTP 1
2018/12/09 01:00:00,2018/12/08 23:00:00,2018/12/09 01:00:00,2018/12/09 02:48:00,2018/12/09 04:28:00,2018/12/09 20:02:00,2018/12/09 23:55:00,MAERSK LONDRINA,1883,"36,22",IPANE-ASAS,ONE,BTP 1
2018/12/18 19:00:00,2018/12/19 18:00:00,2018/12/19 20:00:00,2018/12/19 20:12:00,2018/12/19 21:43:00,2018/12/20 09:25:00,2018/12/20 11:22:00,UASC AL KHOR,1425,"31,25",NWC1,HLC,BTP 2
2018/11/08 13:00:00,2018/11/07 09:12:00,2018/11/08 16:00:00,2018/11/08 15:40:00,2018/11/08 17:10:00,2018/11/09 12:57:00,2018/11/09 15:05:00,MSC ELMA,2145,"33,14",IPANE-ASAS,MSC,BTP 1
2018/12/04 19:00:00,2018/12/03 23:12:00,2018/12/04 07:00:00,2018/12/04 06:50:00,2018/12/04 08:05:00,2018/12/04 21:41:00,2018/12/05 03:46:00,CCNI ANDES,1480,"34,43",NWC1,HLC,BTP 2
2018/11/13 01:00:00,2018/11/11 14:00:00,2018/11/11 17:30:00,2018/11/11 17:30:00,2018/11/11 20:56:00,2018/11/12 16:31:00,2018/11/12 19:40:00,MSC AJACCIO,1978,"36,48",WMED,MSC,BTP 1
2019/02/08 19:00:00,2019/01/31 23:00:00,2019/02/01 02:15:00,2019/02/01 00:25:00,2019/02/01 03:48:00,2019/02/01 12:49:00,2019/02/01 14:50:00,CATHERINE C,863,"35,91",USA-STRING,MSC,BTP 2
2019/01/29 13:00:00,2019/01/29 22:00:00,2019/01/30 00:00:00,2019/01/30 02:10:00,2019/01/30 03:31:00,2019/01/30 16:03:00,2019/01/30 19:41:00,MSC ELODIE,1603,"29,1",NWC1,MSC,BTP 3
2019/01/01 01:00:00,2018/12/31 05:54:00,2019/01/01 08:30:00,2019/01/01 07:20:00,2019/01/01 10:05:00,2019/01/01 17:35:00,2019/01/01 19:20:00,CSAV TRAIGUEN,619,"32,64",WMED,HLC,BTP 1
2019/04/02 01:00:00,2019/04/02 04:30:00,2019/04/02 06:00:00,2019/04/02 06:42:00,2019/04/02 09:04:00,2019/04/03 08:40:00,2019/04/03 10:10:00,MSC AJACCIO,2208,"32,55",WMED,MSC,BTP 1
2019/03/13 07:00:00,2019/03/14 09:30:00,2019/03/14 11:00:00,2019/03/14 11:00:00,2019/03/14 13:18:00,2019/03/14 23:02:00,2019/03/15 01:25:00,MSC AGADIR,823,"29,98",WMED,MSC,BTP 3
2019/03/03 13:00:00,2019/03/03 05:00:00,2019/03/03 09:00:00,2019/03/03 09:15:00,2019/03/03 15:51:00,2019/03/03 23:55:00,2019/03/04 03:20:00,MSC LORETTA,1196,"39,62",UCLA,MSC,BTP 2
2019/01/23 19:00:00,2019/01/23 07:18:00,2019/01/23 12:00:00,2019/01/23 11:15:00,2019/01/23 13:16:00,2019/01/23 18:01:00,2019/01/24 08:10:00,VICENTE PINZON,401,"36,88",ALCT2,ALI,BTP 2
2019/03/02 01:00:00,2019/03/01 15:00:00,2019/03/01 19:00:00,2019/03/01 18:10:00,2019/03/01 20:55:00,2019/03/02 14:25:00,2019/03/02 16:00:00,MAERSK LABREA,1544,"29,41",NEO BOSSA,MAE,BTP 1
2019/02/13 19:00:00,2019/02/13 07:00:00,2019/02/13 21:00:00,2019/02/13 21:07:00,2019/02/13 22:15:00,2019/02/14 03:25:00,2019/02/14 08:47:00,VICENTE PINZON,268,"35,94",ALCT2,ALI,BTP 2
2019/02/07 07:00:00,2019/02/07 02:00:00,2019/02/07 07:00:00,2019/02/07 07:00:00,2019/02/07 08:26:00,2019/02/07 23:04:00,2019/02/08 01:50:00,UASC UMM QASR,1339,"33,19",NWC1,HLC,BTP 2
2019/03/27 19:00:00,2019/03/27 11:00:00,2019/03/27 13:00:00,2019/03/27 14:20:00,2019/03/27 15:56:00,2019/03/27 17:58:00,2019/03/28 14:57:00,VICENTE PINZON,137,"37,1",ALCT2,ALI,BTP 3
2019/03/20 19:00:00,2019/03/20 13:00:00,2019/03/20 15:00:00,2019/03/20 14:30:00,2019/03/20 15:45:00,2019/03/20 19:20:00,2019/03/21 07:25:00,NORTHERN GUARD,366,"40,1",ALCT2,ALI,BTP 3
2019/03/21 07:00:00,2019/03/21 07:36:00,2019/03/21 15:00:00,2019/03/21 14:50:00,2019/03/21 16:28:00,2019/03/22 05:19:00,2019/03/22 06:20:00,MSC ARICA,1163,"32,21",NWC1,MSC,BTP 2
2019/01/16 07:00:00,2019/01/15 10:00:00,2019/01/16 18:30:00,2019/01/16 18:35:00,2019/01/16 19:50:00,2019/01/17 11:47:00,2019/01/17 15:10:00,CZECH,1492,"34,64",IPANE-ASAS,ONE,BTP 2
2019/03/23 19:00:00,2019/03/23 07:40:00,2019/03/23 23:00:00,2019/03/23 22:45:00,2019/03/24 02:22:00,2019/03/24 15:25:00,2019/03/24 17:18:00,LOG-IN RESILIENTE,1468,"42,17",VITORIA,MSC,BTP 3
2019/03/15 01:00:00,2019/03/14 16:00:00,2019/03/15 04:00:00,2019/03/15 05:27:00,2019/03/15 07:22:00,2019/03/15 15:37:00,2019/03/15 17:12:00,BUXCOAST,604,"33,37",USA-STRING,MSC,BTP 2
2019/01/05 01:00:00,2019/01/04 14:00:00,2019/01/04 17:00:00,2019/01/04 15:31:00,2019/01/04 16:57:00,2019/01/04 23:00:00,2019/01/05 02:18:00,MAERSK LABREA,889,"36,76",NEO BOSSA,MAE,BTP 1
2018/10/30 19:00:00,2018/11/01 20:00:00,2018/11/01 22:00:00,2018/11/01 21:48:00,2018/11/01 23:01:00,2018/11/02 21:51:00,2018/11/03 01:10:00,MSC ARICA,1856,"32,93",NWC1,MSC,BTP 2
2018/10/20 19:00:00,2018/10/21 18:25:00,2018/10/22 12:00:00,2018/10/22 12:05:00,2018/10/22 13:59:00,2018/10/23 15:00:00,2018/10/23 17:12:00,STELLAR WILLEMSTADT,1600,"36,03",VITORIA,MSC,BTP 2
2018/12/06 13:00:00,2018/12/06 07:00:00,2018/12/06 09:15:00,2018/12/06 08:45:00,2018/12/06 10:31:00,2018/12/07 14:59:00,2018/12/07 16:45:00,MAERSK LEON,2609,"34,05",IPANE-ASAS,MAE,BTP 1
2018/10/21 01:00:00,2018/10/21 00:30:00,2018/10/21 01:30:00,2018/10/21 01:55:00,2018/10/21 03:29:00,2018/10/22 04:41:00,2018/10/22 09:40:00,MSC ELMA,2164,"31,06",IPANE-ASAS,MSC,BTP 2
2018/12/30 01:00:00,2018/12/28 12:00:00,2018/12/28 16:00:00,2018/12/28 17:05:00,2018/12/28 19:17:00,2018/12/29 04:42:00,2018/12/29 08:14:00,CMA CGM RIO GRANDE,777,"35,11",NEO BOSSA,CMA,BTP 2
2018/12/28 07:00:00,2018/12/28 06:00:00,2018/12/28 11:00:00,2018/12/28 11:24:00,2018/12/28 12:18:00,2018/12/29 02:39:00,2018/12/29 16:43:00,LOG-IN RESILIENTE,1430,"36,35",VITORIA,MSC,BTP 1
2018/12/26 19:00:00,2018/12/26 05:00:00,2018/12/26 13:00:00,2018/12/26 11:56:00,2018/12/26 13:35:00,2018/12/26 16:02:00,2018/12/26 20:00:00,VICENTE PINZON,190,"44,02",ALCT2,ALI,BTP 3
2018/12/25 19:00:00,2018/12/25 06:00:00,2018/12/25 08:00:00,2018/12/25 07:31:00,2018/12/25 08:38:00,2018/12/26 01:04:00,2018/12/26 02:02:00,MSC PALAK,1367,"32,36",NWC1,MSC,BTP 2
2018/12/14 07:00:00,2018/12/13 23:30:00,2018/12/14 07:15:00,2018/12/14 06:40:00,2018/12/14 08:34:00,2018/12/15 00:09:00,2018/12/15 03:15:00,MSC LUDOVICA,1287,"36,51",USA-STRING,MSC,BTP 1
2018/01/01 00:00:00,2018/11/29 09:00:00,2018/11/29 13:00:00,2018/11/29 12:58:00,2018/11/29 14:29:00,2018/11/30 22:00:00,2018/12/01 00:20:00,MAERSK LETICIA,2430,"32,01",IPANE-ASAS,MAE,BTP 1
2018/11/25 01:00:00,2018/11/24 18:30:00,2018/11/24 20:00:00,2018/11/24 20:10:00,2018/11/25 02:14:00,2018/11/26 04:19:00,2018/11/26 07:45:00,MSC JEONGMIN,2427,"32,8",IPANE-ASAS,MSC,BTP 3
2018/11/10 01:00:00,2018/11/09 14:15:00,2018/11/09 19:00:00,2018/11/09 19:40:00,2018/11/09 21:19:00,2018/11/10 06:43:00,2018/11/10 11:53:00,MAERSK LABREA,1223,"36,02",NEO BOSSA,MAE,BTP 2
2018/12/27 13:00:00,2018/12/25 09:36:00,2018/12/27 02:00:00,2018/12/27 02:00:00,2018/12/27 03:36:00,2018/12/28 02:57:00,2018/12/28 06:46:00,MAERSK LONDRINA,1909,"32,42",IPANE-ASAS,ONE,BTP 1
2018/12/23 01:00:00,2018/12/22 20:00:00,2018/12/23 01:00:00,2018/12/22 22:48:00,2018/12/23 01:54:00,2018/12/23 11:19:00,2018/12/23 13:50:00,GRASMERE MAERSK,558,"31,31",IPANE-ASAS,MAE,BTP 3
2018/12/23 01:00:00,2018/12/22 13:00:00,2018/12/22 15:00:00,2018/12/22 16:45:00,2018/12/22 22:15:00,2018/12/23 11:46:00,2018/12/23 12:40:00,MAERSK LABERINTO,764,"28,91",NEO BOSSA,MAE,BTP 2
2018/01/01 00:00:00,2018/12/07 15:00:00,2018/12/08 03:00:00,2018/12/08 03:00:00,2018/12/08 04:21:00,2018/12/08 22:15:00,2018/12/09 03:38:00,STELLAR WILLEMSTADT,1332,"42,78",VITORIA,MSC,BTP 3
2018/12/26 07:00:00,2018/12/27 00:30:00,2018/12/27 02:00:00,2018/12/27 03:20:00,2018/12/27 04:34:00,2018/12/27 10:52:00,2018/12/27 13:43:00,MSC AJACCIO,721,"32,68",WMED,MSC,BTP 3
2019/02/12 19:00:00,2019/02/12 01:00:00,2019/02/12 02:30:00,2019/02/12 02:40:00,2019/02/12 04:39:00,2019/02/12 17:54:00,2019/02/12 21:47:00,MSC BRUNELLA,1862,"32,34",NWC1,MSC,BTP 1
2019/02/08 13:00:00,2019/02/07 16:00:00,2019/02/07 18:00:00,2019/02/07 17:35:00,2019/02/08 09:21:00,2019/02/09 05:27:00,2019/02/09 06:50:00,MSC GISELLE,1437,"27,7",IPANE-ASAS,MSC,BTP 1
2019/02/10 01:00:00,2019/02/09 01:12:00,2019/02/09 16:00:00,2019/02/09 15:55:00,2019/02/09 18:17:00,2019/02/10 06:50:00,2019/02/10 10:10:00,CMA CGM MAGDALENA,1046,"32,18",NEO BOSSA,CMA,BTP 3
2019/02/17 01:00:00,2019/02/16 01:36:00,2019/02/17 06:00:00,2019/02/17 07:05:00,2019/02/17 08:41:00,2019/02/17 19:01:00,2019/02/17 22:47:00,MAERSK LABERINTO,848,"33,28",NEO BOSSA,MAE,BTP 2
2018/12/18 01:00:00,2018/12/17 02:30:00,2018/12/17 04:00:00,2018/12/17 04:00:00,2018/12/17 05:09:00,2018/12/17 18:58:00,2018/12/17 20:44:00,MSC ADELAIDE,1616,"33,75",WMED,MSC,BTP 2
2018/11/20 19:00:00,2018/11/20 06:00:00,2018/11/20 08:30:00,2018/11/20 08:30:00,2018/11/20 09:55:00,2018/11/21 00:54:00,2018/11/21 04:15:00,UASC UMM QASR,1468,"37,13",NWC1,HLC,BTP 1
2018/10/18 07:00:00,2018/10/18 09:00:00,2018/10/18 12:30:00,2018/10/18 12:30:00,2018/10/18 15:27:00,2018/10/19 05:56:00,2018/10/19 07:10:00,CCNI ANDES,1061,"32,07",NWC1,HLC,BTP 3
2018/12/06 07:00:00,2018/12/06 01:00:00,2018/12/06 04:45:00,2018/12/06 02:45:00,2018/12/06 04:19:00,2018/12/06 17:59:00,2018/12/06 18:25:00,UASC UMM QASR,1098,"31,79",NWC1,HLC,BTP 2
2018/11/30 19:00:00,2018/11/29 11:00:00,2018/11/30 17:00:00,2018/11/30 15:55:00,2018/11/30 18:42:00,2018/12/01 08:42:00,2018/12/01 10:15:00,CONTI LYON,1069,"34,83",USA-STRING,MSC,BTP 2
2018/12/16 01:00:00,2018/12/15 03:00:00,2018/12/15 14:00:00,2018/12/15 11:57:00,2018/12/15 14:49:00,2018/12/16 08:59:00,2018/12/16 10:40:00,CMA CGM MAGDALENA,1499,"29,82",NEO BOSSA,CMA,BTP 3
2018/11/06 19:00:00,2018/11/06 22:00:00,2018/11/06 23:30:00,2018/11/06 23:10:00,2018/11/07 01:30:00,2018/11/07 11:45:00,2018/11/07 15:15:00,UASC ZAMZAM,1569,"36,02",NWC1,HLC,BTP 1
2018/11/03 01:00:00,2018/11/02 16:20:00,2018/11/03 06:30:00,2018/11/03 06:00:00,2018/11/03 07:46:00,2018/11/03 22:44:00,2018/11/04 13:22:00,CMA CGM RIO GRANDE,1593,"34,91",NEO BOSSA,CMA,BTP 2
2018/12/22 07:00:00,2018/10/22 04:00:00,2018/10/22 07:30:00,2018/10/22 05:28:00,2018/10/22 07:17:00,2018/10/22 17:13:00,2018/10/22 20:17:00,MSC ORIANE,757,"31,13",USA-STRING,MSC,BTP 3
2018/12/20 13:00:00,2018/12/20 06:00:00,2018/12/20 08:00:00,2018/12/20 08:30:00,2018/12/20 10:32:00,2018/12/21 22:22:00,2018/12/22 01:13:00,MAERSK LAGUNA,2732,"29,32",IPANE-ASAS,MAE,BTP 3
2019/03/29 13:00:00,2019/03/29 06:00:00,2019/03/29 07:30:00,2019/03/29 09:11:00,2019/03/29 10:43:00,2019/03/30 21:20:00,2019/03/31 12:43:00,SKYROS,2376,"32,96",IPANE-ASAS,HLC,BTP 1
2019/01/20 07:00:00,2019/01/20 05:00:00,2019/01/20 06:30:00,2019/01/20 06:24:00,2019/01/20 07:41:00,2019/01/21 03:49:00,2019/01/21 05:15:00,MONTE PASCOAL,1420,"37,88",UCLA,MAE,BTP 3
2019/02/25 01:00:00,2019/02/24 23:30:00,2019/02/25 03:00:00,2019/02/25 02:30:00,2019/02/25 04:58:00,2019/02/26 10:48:00,2019/02/26 14:48:00,MOL BEAUTY,2468,"32,29",IPANE-ASAS,ONE,BTP 1
2019/01/24 13:00:00,2019/01/23 21:00:00,2019/01/24 01:00:00,2019/01/24 00:35:00,2019/01/24 04:12:00,2019/01/24 20:10:00,2019/01/24 21:42:00,MSC NAOMI,1872,"32,43",IPANE-ASAS,MSC,BTP 1
2019/03/04 07:00:00,2019/03/04 06:00:00,2019/03/04 07:45:00,2019/03/04 07:55:00,2019/03/04 09:58:00,2019/03/05 00:41:00,2019/03/05 03:15:00,BUXCOAST,1327,"31,89",USA-STRING,MSC,BTP 3
2019/01/11 07:00:00,2019/01/12 10:49:00,2019/01/12 13:30:00,2019/01/12 13:30:00,2019/01/12 14:18:00,2019/01/13 09:50:00,2019/01/13 10:24:00,CMA CGM LITANI,1079,"56,86",NEO BOSSA,CMA,BTP 2
2019/02/19 19:00:00,2019/02/19 11:00:00,2019/02/20 13:30:00,2019/02/20 14:10:00,2019/02/20 16:12:00,2019/02/20 21:50:00,2019/02/20 23:11:00,NORDAMELIA,145,"27,5",ALCT3,ALI,BTP 1
2019/03/31 01:00:00,2019/03/30 11:24:00,2019/03/30 22:00:00,2019/03/30 22:15:00,2019/03/31 00:35:00,2019/03/31 14:03:00,2019/03/31 16:50:00,MAERSK LOTA,1010,"33,51",NEO BOSSA,MAE,BTP 2
2019/03/11 01:00:00,2019/03/10 20:00:00,2019/03/11 21:00:00,2019/03/11 21:10:00,2019/03/11 23:12:00,2019/03/12 22:11:00,2019/03/13 02:48:00,SKYROS,2123,"31,89",IPANE-ASAS,HLC,BTP 1
2019/02/22 19:00:00,2019/02/23 01:15:00,2019/02/23 22:30:00,2019/02/23 23:40:00,2019/02/24 02:01:00,2019/02/24 12:39:00,2019/02/24 15:45:00,LOG-IN RESILIENTE,1144,"39,92",VITORIA,MSC,BTP 2
2019/01/25 13:00:00,2019/01/28 06:12:00,2019/01/28 12:15:00,2019/01/28 12:45:00,2019/01/28 14:24:00,2019/01/28 22:26:00,2019/01/29 03:15:00,MSC LUDOVICA,1212,"42,92",USA-STRING,MSC,BTP 3
2019/03/23 01:00:00,2019/03/22 08:00:00,2019/03/22 10:00:00,2019/03/22 09:45:00,2019/03/22 11:02:00,2019/03/22 19:19:00,2019/03/23 00:48:00,CMA CGM MAGDALENA,1016,"34,92",NEO BOSSA,CMA,BTP 1
2019/01/01 00:00:00,2019/03/05 14:00:00,2019/03/05 16:00:00,2019/03/05 15:30:00,2019/03/05 21:56:00,2019/03/06 21:06:00,2019/03/06 22:13:00,MSC JEONGMIN,2265,"29,27",IPANE-ASAS,MSC,BTP 1
2019/02/11 01:00:00,2019/02/10 19:00:00,2019/02/10 22:00:00,2019/02/10 21:00:00,2019/02/10 22:46:00,2019/02/11 16:16:00,2019/02/11 18:15:00,MSC ELMA,2230,"31,02",IPANE-ASAS,MSC,BTP 1
2019/03/22 13:00:00,2019/03/23 04:00:00,2019/03/23 06:00:00,2019/03/23 07:23:00,2019/03/23 10:17:00,2019/03/24 00:56:00,2019/03/24 02:45:00,MSC JEONGMIN,1525,"32,17",IPANE-ASAS,MSC,BTP 1
2019/03/01 13:00:00,2019/02/28 21:00:00,2019/03/01 05:00:00,2019/03/01 04:40:00,2019/03/01 07:29:00,2019/03/01 23:38:00,2019/03/02 01:55:00,MSC BRUNELLA,1568,"29,44",IPANE-ASAS,MSC,BTP 2
2019/02/01 13:00:00,2019/02/02 07:30:00,2019/02/02 15:45:00,2019/02/02 16:25:00,2019/02/02 18:20:00,2019/02/03 12:14:00,2019/02/03 14:16:00,LOG-IN RESILIENTE,1861,"41,57",VITORIA,MSC,BTP 3
