BERTH_WINDOW,CHEGADA_BARRA,PREVISAO_ATRACACAO,ESCA_DTHR_ATRACACAO,INICIO_OPERACAO,FIM_OPERCACAO,DESATRACACAO,NAVI_NOME,HINA_QTDE_TOTAL_MOV,HINA_CMPH,SERVICO,LINER,BERCO_ATRACACAO
2018/12/05 07:00:00,2018/12/05 01:00:00,2018/12/05 03:15:00,2018/12/05 03:00:00,2018/12/05 04:11:00,2018/12/05 16:29:00,2018/12/05 21:08:00,MSC ADELAIDE,1329,"35,01",WMED,MSC,BTP 1
2018/12/31 01:10:00,2018/11/30 19:00:00,2018/12/01 05:15:00,2018/12/01 07:15:00,2018/12/01 08:32:00,2018/12/02 05:27:00,2018/12/02 09:40:00,STELLAR WILLEMSTADT,1551,"40,98",VITORIA,MSC,BTP 1
2018/11/24 01:00:00,2018/11/23 13:13:00,2018/11/23 16:00:00,2018/11/23 15:55:00,2018/11/23 17:14:00,2018/11/24 03:54:00,2018/11/24 06:10:00,MAERSK LINS,1009,"36,31",NEO BOSSA,MAE,BTP 2
2018/12/31 23:00:00,2018/12/31 03:00:00,2018/12/31 06:00:00,2018/12/31 06:35:00,2018/12/31 08:02:00,2018/12/31 17:05:00,2018/12/31 18:11:00,MSC MARIANNA,281,"32,15",USA-STRING,MSC,BTP 1
2018/01/11 00:00:00,2018/11/10 09:00:00,2018/11/10 12:00:00,2018/11/10 10:46:00,2018/11/10 13:34:00,2018/11/11 04:45:00,2018/11/11 08:45:00,MAERSK LOTA,1280,"31,11",NEO BOSSA,MAE,BTP 1
2018/01/01 00:00:00,2018/10/27 21:40:00,2018/10/28 03:30:00,2018/10/28 03:20:00,2018/10/28 04:58:00,2018/10/28 15:21:00,2018/10/28 18:25:00,MSC ELOISE,441,"38,88",EXTRA CALL,MSC,BTP 1
2018/11/14 07:00:00,2018/11/13 15:00:00,2018/11/13 16:30:00,2018/11/13 16:38:00,2018/11/13 19:29:00,2018/11/14 05:46:00,2018/11/14 18:12:00,MSC MELINE,1039,"37,88",WMED,MSC,BTP 2
2019/02/15 19:00:00,2019/02/16 00:18:00,2019/02/16 16:00:00,2019/02/16 16:05:00,2019/02/16 18:28:00,2019/02/17 04:22:00,2019/02/17 08:43:00,MONTE VERDE,873,"32,16",UCLA,HAM,BTP 1
2019/02/19 01:00:00,2019/02/18 03:30:00,2019/02/19 03:30:00,2019/02/19 03:05:00,2019/02/19 04:27:00,2019/02/20 00:07:00,2019/02/20 01:23:00,MSC AMALFI,1707,"31,46",WMED,MSC,BTP 1
2019/02/01 19:00:00,2019/02/01 17:00:00,2019/02/01 19:00:00,2019/02/01 18:55:00,2019/02/01 21:24:00,2019/02/02 09:16:00,2019/02/02 11:15:00,MAERSK LABERINTO,769,"31,86",NEO BOSSA,MAE,BTP 1
2019/01/29 01:00:00,2019/01/28 23:30:00,2019/01/29 02:45:00,2019/01/29 02:20:00,2019/01/29 03:39:00,2019/01/30 01:44:00,2019/01/30 04:20:00,MSC AGADIR,1490,"34,43",WMED,MSC,BTP 2
2019/02/22 19:00:00,2019/02/23 04:30:00,2019/02/23 07:00:00,2019/02/23 07:15:00,2019/02/23 08:15:00,2019/02/23 23:51:00,2019/02/24 02:40:00,MSC MICHAELA,1241,"32,65",UCLA,MSC,BTP 1
2019/01/13 01:00:00,2019/01/13 20:00:00,2019/01/13 23:30:00,2019/01/13 23:07:00,2019/01/14 01:55:00,2019/01/14 18:05:00,2019/01/14 18:30:00,MSC SARA ELENA,1847,"30,58",IPANE-ASAS,MSC,BTP 2
2019/01/27 13:00:00,2019/01/27 05:00:00,2019/01/27 10:00:00,2019/01/27 10:10:00,2019/01/27 11:39:00,2019/01/28 00:42:00,2019/01/28 02:17:00,MSC CADIZ,1245,"38,56",UCLA,MSC,BTP 1
2019/02/08 19:00:00,2019/02/08 11:12:00,2019/02/09 06:00:00,2019/02/09 05:15:00,2019/02/09 06:42:00,2019/02/09 15:42:00,2019/02/09 18:50:00,MSC LUDOVICA,940,"37,39",USA-STRING,MSC,BTP 2
2018/11/29 07:00:00,2018/11/29 14:30:00,2018/11/30 13:30:00,2018/11/30 16:55:00,2018/11/30 17:57:00,2018/12/01 01:12:00,2018/12/01 02:40:00,MSC SORAYA,591,"30,25",USA-STRING,MSC,BTP 3
2018/10/28 01:00:00,2018/10/27 21:00:00,2018/10/27 22:35:00,2018/10/27 22:30:00,2018/10/28 02:38:00,2018/10/29 02:49:00,2018/10/29 06:10:00,MAERSK LABERINTO,1624,"32,72",NEO BOSSA,MAE,BTP 3
2018/10/18 13:00:00,2018/10/18 12:00:00,2018/10/18 13:15:00,2018/10/18 13:25:00,2018/10/18 15:48:00,2018/10/19 20:01:00,2018/10/20 11:10:00,MOL ANCHORAGE,2405,"31,21",IPANE-ASAS,ONE,BTP 1
2018/12/02 01:00:00,2018/12/02 05:00:00,2018/12/02 08:00:00,2018/12/02 08:08:00,2018/12/02 09:50:00,2018/12/03 09:39:00,2018/12/03 11:15:00,MAERSK LAGUNA,2187,"31,38",IPANE-ASAS,MAE,BTP 3
2018/11/28 07:00:00,2018/11/28 18:00:00,2018/11/28 20:00:00,2018/11/28 19:50:00,2018/11/28 21:03:00,2018/11/29 07:38:00,2018/11/29 16:35:00,MSC AZOV,1579,"36,72",WMED,MSC,BTP 2
2018/11/01 07:00:00,2018/11/01 01:00:00,2018/11/01 04:30:00,2018/11/01 04:40:00,2018/11/01 06:26:00,2018/11/01 19:59:00,2018/11/01 23:10:00,UASC AL KHOR,1137,34,NWC1,HLC,BTP 1
2018/10/25 07:00:00,2018/10/25 20:00:00,2018/10/25 22:00:00,2018/10/25 22:20:00,2018/10/26 04:13:00,2018/10/26 15:36:00,2018/10/26 17:10:00,MSC BRUNELLA,898,"36,98",NWC1,MSC,BTP 3
2018/10/19 19:00:00,2018/10/19 04:00:00,2018/10/19 06:00:00,2018/10/19 05:53:00,2018/10/19 07:46:00,2018/10/19 22:31:00,2018/10/19 23:18:00,MSC CADIZ,941,"34,71",USA-STRING,MSC,BTP 2
2019/02/17 13:00:00,2019/02/18 01:00:00,2019/02/17 23:30:00,2019/02/18 02:35:00,2019/02/18 03:46:00,2019/02/18 18:31:00,2019/02/18 21:20:00,MSC MICHAELA,1143,"34,73",UCLA,MSC,BTP 2
2019/02/05 19:00:00,2019/02/05 12:00:00,2019/02/05 17:30:00,2019/02/05 17:45:00,2019/02/05 19:42:00,2019/02/06 15:30:00,2019/02/06 17:47:00,HUNGARY,1765,"26,66",NWC1,HLC,BTP 2
2019/03/10 01:00:00,2019/03/09 06:48:00,2019/03/09 19:00:00,2019/03/09 15:25:00,2019/03/09 19:19:00,2019/03/10 06:31:00,2019/03/10 09:39:00,CMA CGM RIO GRANDE,1171,"30,79",NEO BOSSA,CMA,BTP 2
2019/01/22 19:00:00,2019/01/22 05:30:00,2019/01/22 11:00:00,2019/01/22 10:55:00,2019/01/22 12:13:00,2019/01/23 00:15:00,2019/01/23 01:48:00,UASC UMM QASR,1281,"37,18",NWC1,HLC,BTP 1
2019/02/09 19:00:00,2019/02/09 01:30:00,2019/02/09 12:00:00,2019/02/09 12:40:00,2019/02/09 14:00:00,2019/02/10 03:41:00,2019/02/10 10:47:00,LOG-IN RESILIENTE,1544,"43,73",VITORIA,MSC,BTP 1
2019/03/15 13:00:00,2019/03/13 21:34:00,2019/03/14 21:30:00,2019/03/14 21:05:00,2019/03/15 00:06:00,2019/03/16 02:18:00,2019/03/16 02:40:00,MOL BEAUTY,2304,"32,27",IPANE-ASAS,ONE,BTP 1
2019/02/19 19:00:00,2019/02/19 03:00:00,2019/02/19 08:00:00,2019/02/19 07:55:00,2019/02/19 09:38:00,2019/02/20 06:47:00,2019/02/20 09:20:00,UASC AL KHOR,1863,"29,89",NWC1,HLC,BTP 2
2019/03/08 13:00:00,2019/03/06 10:18:00,2019/03/08 00:00:00,2019/03/08 04:20:00,2019/03/08 07:54:00,2019/03/09 03:18:00,2019/03/09 06:13:00,SANTOS EXPRESS,1866,"31,75",IPANE-ASAS,HLC,BTP 2
2019/02/21 07:00:00,2019/02/21 05:00:00,2019/02/21 06:00:00,2019/02/21 06:39:00,2019/02/21 08:04:00,2019/02/21 23:04:00,2019/02/22 01:16:00,HUNGARY,1137,"30,64",NWC1,HLC,BTP 2
2019/02/12 01:00:00,2019/02/11 07:00:00,2019/02/11 13:15:00,2019/02/11 13:31:00,2019/02/11 14:41:00,2019/02/12 01:32:00,2019/02/12 06:10:00,MSC ADELAIDE,1276,"35,2",WMED,MSC,BTP 2
2019/02/04 07:00:00,2019/02/04 04:01:00,2019/02/04 06:00:00,2019/02/04 06:15:00,2019/02/04 09:37:00,2019/02/04 17:47:00,2019/02/04 19:05:00,MSC MARTA,442,"36,88",USA-STRING,MSC,BTP 3
2019/01/27 01:00:00,2019/01/26 00:00:00,2019/01/26 23:00:00,2019/01/26 23:20:00,2019/01/27 02:55:00,2019/01/28 02:03:00,2019/01/28 06:07:00,CMA CGM LITANI,1711,"29,28",NEO BOSSA,CMA,BTP 3
2019/01/02 07:00:00,2019/01/02 03:00:00,2019/01/02 07:00:00,2019/01/02 06:45:00,2019/01/02 07:50:00,2019/01/02 19:27:00,2019/01/03 00:45:00,MSC VITA,1295,"36,45",WMED,MSC,BTP 1
2019/03/24 13:00:00,2019/03/27 06:00:00,2019/03/27 08:00:00,2019/03/27 07:50:00,2019/03/27 08:55:00,2019/03/27 16:28:00,2019/03/27 23:15:00,MONTE CERVANTES,1006,"41,97",UCLA,MAE,BTP 2
2019/01/14 07:00:00,2019/01/14 04:00:00,2019/01/14 06:00:00,2019/01/14 05:30:00,2019/01/14 08:45:00,2019/01/14 20:18:00,2019/01/14 22:40:00,CONTI LYON,830,"35,38",USA-STRING,MSC,BTP 3
2019/01/11 16:00:00,2019/01/12 01:22:00,2019/01/12 18:00:00,2019/01/12 18:06:00,2019/01/13 06:43:00,2019/01/13 23:50:00,2019/01/14 06:40:00,CMA CGM RIO GRANDE,1945,"30,27",NEO BOSSA,CMA,BTP 1
2018/11/19 07:00:00,2018/11/19 05:30:00,2018/11/19 06:00:00,2018/11/19 07:05:00,2018/11/19 08:24:00,2018/11/19 18:00:00,2018/11/20 00:10:00,CONTI LYON,844,"36,1",USA-STRING,MSC,BTP 1
2018/11/16 19:00:00,2018/11/15 19:42:00,2018/11/16 01:00:00,2018/11/16 03:00:00,2018/11/16 06:13:00,2018/11/16 18:53:00,2018/11/16 20:40:00,MSC MARIANNA,1155,"34,95",USA-STRING,MSC,BTP 3
2018/11/13 19:00:00,2018/11/13 01:20:00,2018/11/13 04:14:00,2018/11/13 07:30:00,2018/11/13 08:32:00,2018/11/13 20:01:00,2018/11/13 21:37:00,MSC LILY,1529,"37,27",NWC1,MSC,BTP 1
2018/10/13 19:00:00,2018/10/13 20:00:00,2018/10/13 21:30:00,2018/10/13 21:50:00,2018/10/13 23:17:00,2018/10/14 17:08:00,2018/10/14 20:10:00,MSC SARA ELENA,2258,"32,97",IPANE-ASAS,MSC,BTP 2
2018/11/25 01:00:00,2018/11/24 02:44:00,2018/11/24 15:00:00,2018/11/24 14:45:00,2018/11/24 20:43:00,2018/11/25 14:12:00,2018/11/25 17:38:00,MAERSK LABREA,1547,"32,88",NEO BOSSA,MAE,BTP 2
2018/11/18 01:00:00,2018/11/17 03:12:00,2018/11/17 10:30:00,2018/11/17 12:05:00,2018/11/18 02:58:00,2018/11/19 10:43:00,2018/11/19 12:40:00,CMA CGM RIO GRANDE,2034,"32,73",NEO BOSSA,CMA,BTP 2
2018/11/14 19:00:00,2018/11/14 17:00:00,2018/11/14 21:15:00,2018/11/14 21:25:00,2018/11/14 23:22:00,2018/11/15 05:40:00,2018/11/15 07:40:00,VICENTE PINZON,294,"33,96",ALCT2,ALI,BTP 3
2018/01/01 00:00:00,2018/11/08 02:00:00,2018/11/08 05:00:00,2018/11/08 04:42:00,2018/11/08 08:42:00,2018/11/08 16:51:00,2018/11/08 18:40:00,MSC ALABAMA,411,"31,02",EXTRA CALL,MSC,BTP 2
2018/10/19 13:00:00,2018/10/21 14:00:00,2018/10/21 16:30:00,2018/10/21 16:15:00,2018/10/21 18:27:00,2018/10/22 00:03:00,2018/10/22 02:11:00,FERNÃO DE MAGALHÃES,274,"35,03",ALCT2,ALI,BTP 3
2018/12/25 01:00:00,2018/12/23 09:00:00,2018/12/23 11:00:00,2018/12/23 11:40:00,2018/12/23 13:18:00,2018/12/24 07:48:00,2018/12/24 11:15:00,MSC AMALFI,1738,"35,14",WMED,MSC,BTP 1
2018/12/22 13:00:00,2018/12/21 13:40:00,2018/12/22 10:15:00,2018/12/22 05:52:00,2018/12/22 10:40:00,2018/12/22 17:51:00,2018/12/22 19:18:00,LOG-IN RESILIENTE,412,"46,71",VITORIA,MSC,BTP 3
2018/12/09 01:00:00,2018/12/08 09:30:00,2018/12/08 16:00:00,2018/12/08 15:25:00,2018/12/08 16:55:00,2018/12/09 04:01:00,2018/12/09 14:40:00,MAERSK LINS,1117,"35,36",NEO BOSSA,MAE,BTP 2
2019/01/26 01:00:00,2019/01/25 05:00:00,2019/01/25 08:30:00,2019/01/25 08:30:00,2019/01/25 10:09:00,2019/01/25 23:42:00,2019/01/26 02:40:00,CMA CGM MAGDALENA,1352,"34,74",NEO BOSSA,CMA,BTP 2
2019/01/10 13:00:00,2019/01/08 12:58:00,2019/01/10 10:00:00,2019/01/10 10:08:00,2019/01/10 14:01:00,2019/01/10 23:11:00,2019/01/11 02:15:00,GRASMERE MAERSK,704,"30,23",IPANE-ASAS,MAE,BTP 1
2019/01/02 07:00:00,2019/01/09 13:30:00,2019/01/09 15:30:00,2019/01/09 14:55:00,2019/01/09 16:25:00,2019/01/09 22:34:00,2019/01/10 00:05:00,MONTE SARMIENTO,401,"37,13",ALCT2,ALI,BTP 1
2019/02/01 13:00:00,2019/02/01 16:00:00,2019/02/01 20:00:00,2019/02/01 19:52:00,2019/02/01 21:15:00,2019/02/02 09:15:00,2019/02/02 10:06:00,MSC CADIZ,1049,"32,58",UCLA,MSC,BTP 3
2019/03/19 13:00:00,2019/03/21 02:00:00,2019/03/21 03:30:00,2019/03/21 03:40:00,2019/03/21 05:39:00,2019/03/21 23:17:00,2019/03/22 01:40:00,MSC LILY,1699,"32,12",NWC1,MSC,BTP 1
2019/03/29 01:00:00,2019/04/01 03:00:00,2019/04/01 09:00:00,2019/04/01 09:09:00,2019/04/01 10:58:00,2019/04/02 00:32:00,2019/04/02 02:14:00,CATHERINE C,849,"33,93",USA-STRING,MSC,BTP 1
2018/12/02 01:00:00,2018/12/01 21:00:00,2018/12/01 23:00:00,2018/12/01 23:05:00,2018/12/02 03:47:00,2018/12/02 23:38:00,2018/12/03 00:41:00,CMA CGM LITANI,1439,"27,35",NEO BOSSA,CMA,BTP 2
2018/11/28 19:00:00,2018/11/21 14:00:00,2018/11/21 16:00:00,2018/11/21 15:44:00,2018/11/21 17:22:00,2018/11/21 20:56:00,2018/11/21 23:20:00,MONTE SARMIENTO,288,"44,02",ALCT2,ALI,BTP 1
2018/10/13 19:00:00,2018/10/12 18:00:00,2018/10/12 19:00:00,2018/10/12 19:35:00,2018/10/12 21:16:00,2018/10/13 08:15:00,2018/10/13 09:22:00,MAERSK LABERINTO,1391,"34,97",NEO BOSSA,MAE,BTP 2
2019/03/25 01:00:00,2019/03/24 20:00:00,2019/03/24 23:00:00,2019/03/24 21:53:00,2019/03/25 00:10:00,2019/03/25 22:22:00,2019/03/25 23:40:00,MSC GIULIA,2490,"32,26",IPANE-ASAS,MSC,BTP 1
2019/03/19 01:00:00,2019/03/18 10:00:00,2019/03/18 13:30:00,2019/03/18 13:35:00,2019/03/18 14:51:00,2019/03/19 04:40:00,2019/03/19 07:50:00,MSC MELINE,1714,"35,15",WMED,MSC,BTP 2
2019/03/15 19:00:00,2019/03/16 08:30:00,2019/03/16 13:00:00,2019/03/16 13:55:00,2019/03/16 15:50:00,2019/03/17 04:22:00,2019/03/17 05:42:00,MONTE PASCOAL,767,"32,78",UCLA,MAE,BTP 1
2019/03/29 19:00:00,2019/03/30 23:48:00,2019/03/31 11:30:00,2019/03/31 11:31:00,2019/03/31 13:32:00,2019/04/01 00:02:00,2019/04/01 03:15:00,MONTE CERVANTES,1121,"37,64",UCLA,MAE,BTP 3
2019/03/12 19:00:00,2019/03/13 05:12:00,2019/03/13 19:00:00,2019/03/13 18:25:00,2019/03/13 20:00:00,2019/03/14 02:41:00,2019/03/14 05:07:00,ALIANÇA MANAUS,189,"30,13",ALCT3,ALI,BTP 3
2019/03/09 13:00:00,2019/03/07 19:00:00,2019/03/07 23:00:00,2019/03/07 23:10:00,2019/03/08 00:28:00,2019/03/08 05:33:00,2019/03/08 07:14:00,VICENTE PINZON,213,"27,93",ALCT2,ALI,BTP 3
2019/01/01 07:00:00,2019/03/05 12:00:00,2019/03/05 14:00:00,2019/03/05 13:55:00,2019/03/05 15:33:00,2019/03/06 10:29:00,2019/03/06 11:35:00,MSC ARICA,1740,"32,23",NWC1,MSC,BTP 2
2019/02/26 19:00:00,2019/02/26 15:00:00,2019/02/27 02:45:00,2019/02/27 02:40:00,2019/02/27 04:21:00,2019/02/28 00:37:00,2019/02/28 10:58:00,MSC PALAK,2248,"31,5",NWC1,MSC,BTP 1
2019/01/08 19:00:00,2019/01/08 04:00:00,2019/01/08 07:00:00,2019/01/08 05:50:00,2019/01/08 07:42:00,2019/01/08 18:41:00,2019/01/08 23:40:00,UASC ZAMZAM,1480,"32,87",NWC1,HLC,BTP 2
2019/03/22 19:00:00,2019/03/22 21:00:00,2019/03/23 00:00:00,2019/03/22 23:20:00,2019/03/23 01:43:00,2019/03/23 12:20:00,2019/03/23 17:40:00,MSC CADIZ,655,"34,18",UCLA,MSC,BTP 3
2019/02/20 19:00:00,2019/02/19 06:15:00,2019/02/19 23:00:00,2019/02/19 14:30:00,2019/02/20 01:33:00,2019/02/20 05:54:00,2019/02/20 11:15:00,MONTE SARMIENTO,140,"33,63",ALCT2,ALI,BTP 3
2019/02/10 13:00:00,2019/02/10 05:30:00,2019/02/10 08:00:00,2019/02/10 07:31:00,2019/02/10 09:00:00,2019/02/10 20:33:00,2019/02/10 22:45:00,MONTE VERDE,1395,"34,56",UCLA,HAM,BTP 2
2019/01/25 07:00:00,2019/01/26 14:30:00,2019/01/26 16:00:00,2019/01/26 16:04:00,2019/01/26 17:50:00,2019/01/27 03:08:00,2019/01/27 04:40:00,E.R. FRANCE,882,"34,78",WMED,MSC,BTP 1
2018/12/30 01:00:00,2018/12/30 23:00:00,2018/12/31 02:15:00,2018/12/31 01:30:00,2018/12/31 02:15:00,2019/01/01 11:09:00,2019/01/01 13:07:00,CZECH,1934,"29,57",IPANE-ASAS,ONE,BTP 3
2019/03/30 01:00:00,2019/03/29 14:30:00,2019/03/29 21:00:00,2019/03/29 20:30:00,2019/03/29 21:50:00,2019/03/30 12:34:00,2019/03/30 16:25:00,MAERSK LABERINTO,1015,"39,09",NEO BOSSA,MAE,BTP 2
2019/01/15 19:00:00,2019/01/14 23:00:00,2019/01/15 01:30:00,2019/01/15 02:05:00,2019/01/15 03:41:00,2019/01/15 15:16:00,2019/01/15 17:10:00,MSC LILY,1291,"32,37",NWC1,MSC,BTP 3
2019/01/04 19:00:00,2019/01/03 17:00:00,2019/01/03 23:00:00,2019/01/03 23:34:00,2019/01/04 01:36:00,2019/01/04 12:25:00,2019/01/04 16:38:00,MSC ORIANE,770,"38,71",USA-STRING,MSC,BTP 2
2019/03/17 01:00:00,2019/03/16 09:00:00,2019/03/17 00:00:00,2019/03/17 02:07:00,2019/03/17 03:41:00,2019/03/17 15:46:00,2019/03/17 18:43:00,MAERSK LABREA,1159,"34,81",NEO BOSSA,MAE,BTP 2
2019/02/26 19:00:00,2019/02/26 09:50:00,2019/02/27 18:00:00,2019/02/27 18:46:00,2019/02/27 21:15:00,2019/02/28 04:54:00,2019/02/28 08:07:00,ALIANÇA MANAUS,292,"32,24",ALCT3,ALI,BTP 3
2019/02/15 13:00:00,2019/02/18 04:00:00,2019/02/18 08:00:00,2019/02/18 07:40:00,2019/02/18 14:39:00,2019/02/19 05:50:00,2019/02/19 08:35:00,MSC ORIANE,1080,"36,32",USA-STRING,MSC,BTP 3
